"X-Angle(бу)","Y-Angle(бу)","Z-Angle(бу)"
4.230000,0.510000,12.363912
4.230000,0.510000,12.363912
6.286000,-2.294000,12.272027
6.286000,-2.294000,12.272027
6.286000,-2.294000,12.272027
6.286000,-2.294000,12.272027
6.286000,-2.294000,12.272027
3.704000,2.274000,8.989507
3.704000,2.274000,8.989507
3.704000,2.274000,8.989507
3.704000,2.274000,8.989507
3.704000,2.274000,8.989507
6.434000,10.618000,14.807728
6.434000,10.618000,14.807728
6.434000,10.618000,14.807728
6.434000,10.618000,14.807728
6.434000,10.618000,14.807728
1.586000,5.416000,11.056625
1.586000,5.416000,11.056625
1.586000,5.416000,11.056625
1.586000,5.416000,11.056625
1.586000,5.416000,11.056625
2.038000,-5.802000,11.323813
2.038000,-5.802000,11.323813
2.038000,-5.802000,11.323813
2.038000,-5.802000,11.323813
2.038000,-5.802000,11.323813
1.692000,-0.128000,12.696275
1.692000,-0.128000,12.696275
1.692000,-0.128000,12.696275
1.692000,-0.128000,12.696275
1.692000,-0.128000,12.696275
6.164000,-5.222000,12.207483
6.164000,-5.222000,12.207483
6.164000,-5.222000,12.207483
6.164000,-5.222000,12.207483
6.164000,-5.222000,12.207483
-1.936000,5.110000,14.042538
-1.936000,5.110000,14.042538
-1.936000,5.110000,14.042538
-1.936000,5.110000,14.042538
-1.936000,5.110000,14.042538
-0.406000,-3.370000,9.451310
-0.406000,-3.370000,9.451310
-0.406000,-3.370000,9.451310
-0.406000,-3.370000,9.451310
-0.406000,-3.370000,9.451310
1.160000,3.324000,13.488330
1.160000,3.324000,13.488330
1.160000,3.324000,13.488330
1.160000,3.324000,13.488330
1.160000,3.324000,13.488330
8.738000,0.766000,9.708999
8.738000,0.766000,9.708999
8.738000,0.766000,9.708999
8.738000,0.766000,9.708999
8.738000,0.766000,9.708999
-1.898000,-3.562000,12.625886
-1.898000,-3.562000,12.625886
-1.898000,-3.562000,12.625886
-1.898000,-3.562000,12.625886
-1.898000,-3.562000,12.625886
-0.958000,2.426000,11.393485
-0.958000,2.426000,11.393485
-0.958000,2.426000,11.393485
-0.958000,2.426000,11.393485
-0.958000,2.426000,11.393485
-4.220000,5.676000,15.533383
-4.220000,5.676000,15.533383
-4.220000,5.676000,15.533383
-4.220000,5.676000,15.533383
-4.220000,5.676000,15.533383
0.626000,3.928000,9.277085
0.626000,3.928000,9.277085
0.626000,3.928000,9.277085
0.626000,3.928000,9.277085
0.626000,3.928000,9.277085
4.346000,5.708000,10.540932
4.346000,5.708000,10.540932
4.346000,5.708000,10.540932
4.346000,5.708000,10.540932
4.346000,5.708000,10.540932
-5.204000,4.220000,13.636538
-5.204000,4.220000,13.636538
